occ1d,year,stock_occ,exp_stock_tot,full_time_equiv,wage,implied_price
1,1984,3.58e+10,3.58e+10,1.07e+07,12.20393,1
1,1985,4.15e+10,4.01e+10,1.11e+07,12.70523,.9651953
1,1986,4.94e+10,4.39e+10,1.18e+07,12.81129,.8895959
1,1987,5.74e+10,4.65e+10,1.23e+07,12.85292,.8100542
1,1988,6.91e+10,4.68e+10,1.34e+07,12.68695,.6772863
1,1989,7.58e+10,4.60e+10,1.32e+07,12.83685,.6068623
1,1990,8.40e+10,4.83e+10,1.32e+07,12.94857,.5751678
1,1991,9.39e+10,5.47e+10,1.33e+07,12.64122,.5823268
1,1992,1.09e+11,5.69e+10,1.39e+07,12.51808,.5200976
1,1993,1.21e+11,5.65e+10,1.42e+07,12.66899,.4688901
1,1994,1.47e+11,6.51e+10,1.50e+07,13.21176,.4439058
1,1995,1.82e+11,7.78e+10,1.61e+07,13.87223,.4282926
1,1996,2.25e+11,8.17e+10,1.71e+07,14.18257,.3631922
1,1997,2.70e+11,9.85e+10,1.68e+07,14.28725,.3647008
1,1998,3.43e+11,1.11e+11,1.77e+07,15.42165,.3247526
1,1999,4.17e+11,1.08e+11,1.83e+07,14.56579,.2586491
1,2000,4.78e+11,1.17e+11,1.90e+07,16.09818,.2437488
1,2001,5.49e+11,1.26e+11,1.93e+07,16.61815,.229954
1,2002,5.15e+11,1.07e+11,1.76e+07,17.29109,.2083033
1,2003,5.53e+11,9.54e+10,1.73e+07,17.34568,.1725554
1,2004,6.05e+11,8.97e+10,1.74e+07,17.08668,.148241
1,2005,6.89e+11,9.67e+10,1.83e+07,18.34459,.1403109
1,2006,7.77e+11,9.87e+10,1.87e+07,17.54079,.1270301
1,2007,8.53e+11,1.05e+11,1.89e+07,17.1535,.1230424
1,2008,9.48e+11,9.80e+10,1.90e+07,18.4851,.1033807
1,2009,1.05e+12,1.16e+11,1.80e+07,18.1447,.1111332
1,2010,1.14e+12,1.04e+11,1.82e+07,17.07707,.091693
1,2011,1.28e+12,1.19e+11,1.87e+07,17.86564,.0931027
1,2012,1.44e+12,1.27e+11,1.94e+07,17.29456,.0878626
1,2013,1.56e+12,1.35e+11,1.94e+07,18.08084,.0859691
1,2014,1.72e+12,1.34e+11,2.00e+07,17.49346,.0781522
1,2015,1.93e+12,1.38e+11,2.11e+07,18.57003,.0715647
2,1984,2.43e+10,2.43e+10,1.02e+07,12.70381,1
2,1985,2.78e+10,2.75e+10,1.04e+07,13.03189,.9884917
2,1986,3.36e+10,3.12e+10,1.11e+07,13.02792,.9283542
2,1987,3.86e+10,3.20e+10,1.15e+07,12.731,.8291101
2,1988,4.35e+10,3.38e+10,1.19e+07,12.78193,.7759033
2,1989,4.83e+10,3.66e+10,1.17e+07,12.7035,.7587401
2,1990,5.38e+10,3.74e+10,1.17e+07,13.09019,.6947934
2,1991,5.95e+10,4.23e+10,1.18e+07,13.33812,.7107778
2,1992,7.00e+10,4.38e+10,1.28e+07,13.71248,.6247137
2,1993,7.66e+10,4.44e+10,1.32e+07,13.77503,.579208
2,1994,9.03e+10,5.37e+10,1.39e+07,13.53076,.594375
2,1995,1.02e+11,5.71e+10,1.44e+07,15.37622,.5574288
2,1996,1.20e+11,5.74e+10,1.47e+07,14.64116,.4766204
2,1997,1.49e+11,7.19e+10,1.54e+07,15.77004,.4821104
2,1998,1.84e+11,8.79e+10,1.61e+07,16.35373,.4779466
2,1999,2.13e+11,8.99e+10,1.62e+07,16.06049,.422014
2,2000,2.48e+11,9.48e+10,1.70e+07,17.27891,.382244
2,2001,2.80e+11,1.00e+11,1.71e+07,17.15762,.3576858
2,2002,3.30e+11,1.12e+11,1.74e+07,17.83228,.3383408
2,2003,3.73e+11,1.09e+11,1.78e+07,17.74462,.2921051
2,2004,4.08e+11,1.04e+11,1.77e+07,18.50509,.2552262
2,2005,4.63e+11,1.15e+11,1.83e+07,17.70104,.248208
2,2006,5.28e+11,1.19e+11,1.95e+07,18.10965,.2253057
2,2007,6.04e+11,1.36e+11,1.98e+07,16.99145,.2249789
2,2008,6.56e+11,1.22e+11,1.95e+07,18.31696,.1858104
2,2009,7.48e+11,1.50e+11,1.96e+07,19.54321,.200799
2,2010,8.18e+11,1.50e+11,2.01e+07,18.45534,.1827987
2,2011,8.90e+11,1.67e+11,2.00e+07,19.85688,.1877485
2,2012,9.82e+11,1.65e+11,2.04e+07,18.46877,.1682274
2,2013,1.06e+12,1.80e+11,2.08e+07,18.49691,.1699773
2,2014,1.19e+12,1.88e+11,2.16e+07,17.56942,.1581755
2,2015,1.35e+12,1.99e+11,2.26e+07,18.34433,.1477009
3,1984,1.81e+10,1.81e+10,2638101,11.14046,1
3,1985,2.15e+10,2.01e+10,2719325,10.51123,.9326391
3,1986,2.24e+10,2.11e+10,2626370,11.17029,.9433118
3,1987,2.59e+10,2.15e+10,2865944,10.88438,.8295299
3,1988,2.79e+10,2.01e+10,2989128,10.95844,.7183132
3,1989,3.30e+10,2.20e+10,3226866,11.0142,.6667054
3,1990,3.42e+10,2.10e+10,3108657,10.86837,.6144066
3,1991,3.80e+10,2.47e+10,3426864,10.38573,.6512431
3,1992,4.15e+10,2.48e+10,3238911,10.93719,.5981154
3,1993,4.31e+10,2.32e+10,3192970,11.84494,.5371588
3,1994,4.58e+10,2.43e+10,3171415,11.42156,.53115
3,1995,4.74e+10,2.43e+10,3168007,11.65281,.5123014
3,1996,5.56e+10,2.59e+10,3386509,12.87213,.4662873
3,1997,6.63e+10,3.06e+10,3489546,12.22152,.4616212
3,1998,7.71e+10,3.50e+10,3527909,12.34006,.454046
3,1999,9.39e+10,3.78e+10,3806565,12.52215,.4022583
3,2000,9.90e+10,3.53e+10,3892744,13.41816,.3565091
3,2001,1.02e+11,3.69e+10,3735608,13.73305,.3625237
3,2002,9.51e+10,3.09e+10,3497913,14.79943,.3252285
3,2003,1.05e+11,3.04e+10,3582363,13.90918,.2891521
3,2004,1.21e+11,3.14e+10,3770547,14.34605,.2599128
3,2005,1.25e+11,3.26e+10,3715969,13.2123,.2600632
3,2006,1.32e+11,3.28e+10,3674551,13.75081,.2486844
3,2007,1.48e+11,3.46e+10,3831847,13.39888,.2346042
3,2008,1.61e+11,3.33e+10,3866426,13.6565,.2064449
3,2009,1.72e+11,3.90e+10,3797482,14.15628,.2263164
3,2010,1.85e+11,3.86e+10,3793169,14.24988,.208451
3,2011,1.96e+11,3.98e+10,3807652,14.19559,.2030695
3,2012,2.05e+11,3.89e+10,3871458,13.37389,.1897846
3,2013,2.33e+11,4.28e+10,3956249,13.75546,.183469
3,2014,2.38e+11,4.18e+10,4015511,14.25433,.1751941
3,2015,2.45e+11,4.27e+10,3988323,14.11151,.1740469
4,1984,6.19e+09,6.19e+09,7324030,10.07849,1
4,1985,8.20e+09,8.00e+09,7847930,10.51297,.9749404
4,1986,1.01e+10,8.91e+09,8009639,10.59362,.8786768
4,1987,1.20e+10,9.23e+09,8381169,11.11398,.7707389
4,1988,1.40e+10,1.00e+10,8482071,10.60605,.7134145
4,1989,1.71e+10,1.11e+10,8980329,10.26192,.6465193
4,1990,1.87e+10,1.07e+10,8768908,10.05971,.5739169
4,1991,2.08e+10,1.14e+10,8675143,10.14202,.5455889
4,1992,2.51e+10,1.16e+10,8903523,12.61182,.4618146
4,1993,2.92e+10,1.26e+10,9277504,10.68679,.4296202
4,1994,3.73e+10,1.54e+10,9794089,9.718129,.4125808
4,1995,4.70e+10,1.84e+10,1.03e+07,10.98103,.3909624
4,1996,5.79e+10,1.81e+10,1.03e+07,10.65397,.3127978
4,1997,7.66e+10,2.33e+10,1.04e+07,11.62618,.3043188
4,1998,9.88e+10,2.60e+10,1.07e+07,11.47988,.2629294
4,1999,1.23e+11,2.57e+10,1.10e+07,12.38071,.2089851
4,2000,1.41e+11,2.82e+10,1.12e+07,13.33461,.1997173
4,2001,1.56e+11,2.73e+10,1.09e+07,14.92873,.1750479
4,2002,1.73e+11,2.85e+10,1.08e+07,14.4497,.1646485
4,2003,2.01e+11,2.72e+10,1.09e+07,13.48993,.1351469
4,2004,2.25e+11,2.61e+10,1.10e+07,14.24779,.1158028
4,2005,2.60e+11,2.83e+10,1.13e+07,14.29735,.1086681
4,2006,2.92e+11,2.79e+10,1.14e+07,14.50339,.0953887
4,2007,3.17e+11,3.01e+10,1.12e+07,13.51034,.0949035
4,2008,3.36e+11,2.61e+10,1.06e+07,14.59644,.077561
4,2009,3.58e+11,2.81e+10,9921100,15.46031,.0784609
4,2010,3.83e+11,2.59e+10,9803802,13.99238,.0676378
4,2011,4.12e+11,2.95e+10,9773696,15.46995,.0715304
4,2012,4.39e+11,2.82e+10,9743730,14.25001,.0642558
4,2013,5.23e+11,3.43e+10,1.06e+07,13.52143,.0655584
4,2014,5.59e+11,3.26e+10,1.04e+07,14.58296,.0582926
4,2015,5.72e+11,2.90e+10,1.01e+07,14.11011,.0507667
5,1984,3.19e+10,3.19e+10,1.17e+07,7.940547,1
5,1985,3.94e+10,3.93e+10,1.21e+07,8.197383,.9976391
5,1986,4.80e+10,4.32e+10,1.22e+07,7.99612,.9010384
5,1987,5.36e+10,4.22e+10,1.24e+07,8.215809,.7874565
5,1988,5.99e+10,4.34e+10,1.23e+07,7.932098,.7237148
5,1989,6.96e+10,4.60e+10,1.29e+07,8.165008,.6611723
5,1990,7.94e+10,4.66e+10,1.29e+07,8.084553,.5864354
5,1991,9.62e+10,5.46e+10,1.36e+07,8.106608,.5679857
5,1992,1.00e+11,4.70e+10,1.28e+07,8.150843,.4686149
5,1993,1.12e+11,4.95e+10,1.27e+07,8.122533,.4415646
5,1994,1.16e+11,4.92e+10,1.25e+07,8.089772,.4227253
5,1995,1.40e+11,5.67e+10,1.29e+07,8.167464,.4041963
